ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
186,Ogden Ave & Race Ave,15,15,In Service,41.891795,-87.658751,"(41.891795, -87.658751)"
184,State St & 35th St,19,19,In Service,41.831036314,-87.626797557,"(41.8310363140161, -87.62679755687714)"
176,Clark St & Elm St,39,39,In Service,41.902973,-87.63128,"(41.902973, -87.63128)"
648,Carpenter St & 63rd St,7,7,In Service,41.77987,-87.650919,"(41.77987, -87.650919)"
658,Leavitt St & Division St,15,15,In Service,41.902997,-87.683825,"(41.902997, -87.683825)"
22,May St & Taylor St,15,15,In Service,41.8694821,-87.6554864,"(41.8694821, -87.6554864)"
1563698701206292480,Lamon Ave & Belmont Ave,9,9,In Service,41.9390108,-87.7492834,"(41.9390108, -87.7492834)"
643,Smith Park,15,15,In Service,41.892048,-87.689397,"(41.892048, -87.689397)"
640,Bernard St & Elston Ave,11,11,In Service,41.949923,-87.713949,"(41.949923, -87.713949)"
217,Elizabeth (May) St & Fulton St,15,15,In Service,41.886616486,-87.658039927,"(41.886616486027656, -87.6580399274826)"
222,Milwaukee Ave & Rockwell St,19,19,In Service,41.920195562,-87.692659199,"(41.92019556200566, -87.69265919923781)"
26,New St & Illinois St,31,31,In Service,41.890847041,-87.618616819,"(41.890847040623804, -87.61861681938171)"
259,California Ave & Francis Pl (Temp),15,15,In Service,41.918491154,-87.697422802,"(41.91849115368695, -87.69742280244827)"
690,State St & 95th St,15,15,In Service,41.7218499,-87.6228544,"(41.7218499, -87.6228544)"
213,Leavitt St & North Ave,15,15,In Service,41.910509367,-87.682389021,"(41.91050936666395, -87.6823890209198)"
488,Pulaski Rd & Eddy St (Temp),11,11,In Service,41.946264,-87.731023,"(41.946264, -87.731023)"
278,Wallace St & 35th St,15,15,In Service,41.83101433,-87.641183585,"(41.83101432992121, -87.64118358492851)"
650,Eggleston Ave & 69th St,11,11,In Service,41.768898,-87.635876,"(41.768898, -87.635876)"
1436495096608724634,N Clark St & W Elm St,4,4,In Service,41.902901,-87.631282,"(41.902901, -87.631282)"
664,Leavitt St & Belmont Ave,15,15,In Service,41.939354,-87.683282,"(41.939354, -87.683282)"
641,Central Park Ave & Bloomingdale Ave,11,11,In Service,41.914166,-87.716755,"(41.914166, -87.716755)"
1436495105198659242,W Armitage Ave & N Sheffield Ave,8,8,In Service,41.917805,-87.653449,"(41.917805, -87.653449)"
199,Wabash Ave & Grand Ave,31,31,In Service,41.891466,-87.626761,"(41.891466, -87.626761)"
492,Leavitt St & Addison St,15,15,In Service,41.946655,-87.683359,"(41.946655, -87.683359)"
1436495100903691938,W Oakdale Ave & N Broadway,6,6,In Service,41.935581,-87.644042,"(41.935581, -87.644042)"
237,MLK Jr Dr & 29th St,19,19,In Service,41.842052,-87.617,"(41.842052, -87.617)"
301,Clark St & Schiller St,19,19,In Service,41.907993,-87.631501,"(41.907993, -87.631501)"
656,Damen Ave & Walnut (Lake) St,15,15,In Service,41.885951,-87.677009,"(41.885951, -87.677009)"
1594046452557910996,472,9,9,Not Installed,41.934003,-87.690823,"(41.934003, -87.690823)"
1448642162257565290,S Aberdeen St & W 106th St,3,3,In Service,41.701217,-87.649345,"(41.701217, -87.649345)"
632,Clark St & Newport St,15,15,In Service,41.94454,-87.654678,"(41.94454, -87.654678)"
1436495122378528446,N Paulina St & Lincoln Ave,6,6,In Service,41.943838,-87.671469,"(41.943838, -87.671469)"
637,Wood St & Chicago Ave,15,15,In Service,41.895634,-87.672069,"(41.895634, -87.672069)"
24,Fairbanks Ct & Grand Ave,15,15,In Service,41.891847372,-87.620580196,"(41.89184737210993, -87.62058019638062)"
211,St. Clair St & Erie St,19,19,In Service,41.894345137,-87.622798383,"(41.89434513742426, -87.62279838323593)"
214,Damen Ave & Grand Ave,23,23,In Service,41.891264346,-87.676842213,"(41.891264346481535, -87.676842212677)"
270,Stony Island Ave & 75th St,11,11,In Service,41.75866967,-87.586882871,"(41.7586696704, -87.586882871)"
596,Benson Ave & Church St,15,15,In Service,42.048214,-87.683485,"(42.048214, -87.683485)"
1582242302452717116,Kedzie Ave & 52nd St,9,9,In Service,41.7990641,-87.703446,"(41.7990641, -87.703446)"
1436495118083561146,N Sheffield Ave & W Wellington Ave,6,6,In Service,41.9362263,-87.6537676,"(41.9362263, -87.6537676)"
348,California Ave & 21st St,15,15,In Service,41.853804066,-87.695742399,"(41.8538040657915, -87.69574239850043)"
226,Racine Ave & Belmont Ave,15,15,In Service,41.939743,-87.658865,"(41.939743, -87.658865)"
1561012874421056046,Harding Ave & 26th St,9,9,In Service,41.8444715,-87.7232647,"(41.8444715, -87.7232647)"
298,Lincoln Ave & Belle Plaine Ave,15,15,In Service,41.956003551,-87.680161446,"(41.95600355078549, -87.68016144633293)"
3,Shedd Aquarium,55,55,In Service,41.867225957,-87.61535539,"(41.86722595682, -87.6153553902)"
31,Franklin St & Chicago Ave,23,23,In Service,41.896746973,-87.635667622,"(41.896746973093805, -87.63566762208939)"
41,Federal St & Polk St,19,19,In Service,41.872077633,-87.629543773,"(41.87207763285, -87.6295437729)"
317,Wood St & Taylor St (Temp),23,23,In Service,41.869265218,-87.67373085,"(41.869265218438194, -87.67373085021973)"
1448642162257565286,S Wentworth Ave & W 111th St,5,5,In Service,41.6926176,-87.6280518,"(41.6926176, -87.6280518)"
319,Greenview Ave & Diversey Pkwy,15,15,In Service,41.932589634,-87.665936351,"(41.93258963429789, -87.66593635082245)"
325,Clark St & Winnemac Ave,19,19,In Service,41.97334764,-87.667855471,"(41.973347640473044, -87.6678554713726)"
34,Cannon Dr & Fullerton Ave,15,15,In Service,41.926755988,-87.634428785,"(41.9267559875, -87.6344287848)"
230,Lincoln Ave & Roscoe St,19,19,In Service,41.94379115,-87.671257854,"(41.9437911500595, -87.671257853508)"
541,Central Ave & Harrison St,11,11,In Service,41.872993,-87.764499,"(41.872993, -87.764499)"
1575949510978564828,North Ave & New England Ave,9,9,In Service,41.9092204,-87.7971406,"(41.9092204, -87.7971406)"
350,Ashland Ave & Chicago Ave,15,15,In Service,41.895974323,-87.667725384,"(41.8959743225961, -87.66772538423538)"
352,Jeffery Blvd & 67th St,11,11,In Service,41.773517551,-87.577142826,"(41.77351755125, -87.5771428255)"
354,Sheridan Rd & Greenleaf Ave,15,15,In Service,42.010586563,-87.662412095,"(42.01058656284, -87.6624120948)"
1448642175142467184,Avenue L & 114th St,10,10,In Service,41.6881169,-87.5365497,"(41.6881169, -87.5365497)"
356,Stony Island Ave & 71st St,11,11,In Service,41.766492937,-87.586460878,"(41.7664929373, -87.5864608775)"
359,Larrabee St & Division St,23,23,In Service,41.90348607,-87.643353494,"(41.90348607004, -87.6433534936)"
364,Larrabee St & Oak St,19,19,In Service,41.900219493,-87.642985468,"(41.90021949323, -87.6429854676)"
365,Halsted St & North Branch St,15,15,In Service,41.899390285,-87.648544908,"(41.89939028549696, -87.64854490756989)"
366,Loomis St & Archer Ave,11,11,In Service,41.84163254,-87.657434953,"(41.84163253965, -87.6574349533)"
368,Ashland Ave & Archer Ave,15,15,In Service,41.839208684,-87.665609859,"(41.83920868403, -87.6656098589)"
1448642175142467180,S Michigan Ave & E 118th St,6,6,In Service,41.679804,-87.620843,"(41.679804, -87.620843)"
25,Michigan Ave & Pearson St,23,23,In Service,41.89766,-87.62351,"(41.89766, -87.62351)"
369,Wood St & 35th St,11,11,In Service,41.830104654,-87.670298309,"(41.83010465416, -87.6702983089)"
37,Dearborn St & Adams St,19,19,In Service,41.879356359,-87.629791036,"(41.8793563587, -87.6297910363)"
370,Calumet Ave & 21st St,15,15,In Service,41.854184249,-87.619153741,"(41.85418424947, -87.6191537415)"
312,Clarendon Ave & Gordon Ter,15,15,In Service,41.957866524,-87.649505138,"(41.95786652415174, -87.64950513839722)"
374,Western Ave & Walton St,23,23,In Service,41.898417689,-87.686596016,"(41.89841768945, -87.6865960164)"
353,Clark St & Touhy Ave,15,15,In Service,42.012560115,-87.674367115,"(42.01256011541, -87.6743671152)"
376,Artesian Ave & Hubbard St,35,35,In Service,41.88949182,-87.688219365,"(41.88949181977, -87.6882193648)"
367,Racine Ave & 35th St,15,15,In Service,41.830688565,-87.656210661,"(41.83068856472101, -87.65621066093445)"
1436495119852630436,N Damen Ave & W Chicago Ave,6,6,In Service,41.895809,-87.678519,"(41.895809, -87.678519)"
373,Kedzie Ave & Chicago Ave,11,11,In Service,41.895465303,-87.706127884,"(41.89546530305, -87.7061278837)"
35,Streeter Dr & Grand Ave,47,47,In Service,41.892278,-87.612043,"(41.892278, -87.612043)"
